formid,exp,geogr,date,stemp,btemp,btime,start,visibility,averagedepth,maxdepth,current,habitat,,
5026733,E,34080009,8/22/2009,86,86,51,12,3,4,NULL,2,2,,
5027295,E,34030009,8/22/2009,88,85,70,11,5,5,NULL,2,1,,
5026762,E,34110005,8/24/2009,85,0,90,15,3,1,NULL,3,1,,
5026823,E,34040105,8/26/2009,86,0,90,15,3,1,NULL,2,1,,
5026866,E,34040112,8/28/2009,88,88,98,13,5,4,NULL,2,1,,
5026868,E,34040028,8/28/2009,0,0,72,15,4,3,NULL,3,1,,
5026880,E,34040028,8/28/2009,88,88,72,15,4,3,NULL,2,1,,
5026867,E,34040004,8/28/2009,0,0,94,13,4,4,NULL,3,1,,
5026864,E,34030071,8/28/2009,0,83,96,10,5,4,NULL,3,1,,
5026865,E,34030071,8/28/2009,88,88,98,10,5,4,NULL,2,1,,
5027164,E,34030014,8/28/2009,86,86,65,16,3,4,NULL,2,10,,
5027163,E,34030013,8/28/2009,86,86,61,15,3,4,NULL,2,10,,
5027118,E,34030011,8/28/2009,86,86,62,11,3,4,NULL,2,10,,
5027117,E,34030009,8/28/2009,86,86,63,10,3,4,NULL,2,2,,
5026882,E,34040132,8/29/2009,88,88,87,10,4,4,NULL,2,1,,
5027820,E,34040132,8/29/2009,85,85,86,10,4,4,NULL,3,1,,
5026881,E,34040028,8/29/2009,86,86,88,8,4,3,NULL,2,1,,
5027818,E,34040028,8/29/2009,83,83,83,8,4,3,NULL,3,1,,
5026888,E,34030038,8/29/2009,86,84,37,10,3,9,NULL,1,10,,
5026891,E,34030031,8/29/2009,86,86,61,16,3,4,NULL,2,2,,
5026890,E,34030028,8/29/2009,86,86,60,14,3,3,NULL,2,3,,
5026889,E,34030011,8/29/2009,86,86,61,11,3,5,NULL,2,10,,
5027033,E,34030013,8/30/2009,87,87,66,9,4,4,NULL,2,1,,
5027037,E,34030013,8/30/2009,87,87,85,11,4,3,NULL,2,1,,
5027822,E,34030013,8/30/2009,84,84,66,9,4,4,NULL,3,1,,
5027827,E,34030013,8/30/2009,84,84,85,10,4,4,NULL,3,1,,
5026911,E,34030009,8/30/2009,86,84,40,14,4,7,NULL,1,4,,
5026915,E,34030008,8/30/2009,86,84,64,15,3,4,NULL,2,2,,
5027069,E,34110005,8/31/2009,86,0,90,13,2,1,NULL,3,1,,
5027040,E,34030009,8/31/2009,86,86,62,10,3,4,NULL,2,2,,
5027042,E,34030009,8/31/2009,86,86,62,11,3,4,NULL,2,2,,
5027272,E,34080097,9/6/2009,84,83,29,11,3,10,NULL,1,10,,
5027350,E,34080014,9/8/2009,85,84,26,12,3,9,NULL,3,10,,
5027294,E,34030009,9/8/2009,88,82,70,7,5,5,NULL,2,1,,
